Sección,Subsección,Objetivo,Aplica a Proyecto,Definido por,ID_Pregunta,Pregunta,Descripción/Contexto,Status (Cliente),Respuesta (Cliente)
,MLOps y Ciclo de Vida,Frecuencia de reentrenamiento,Aplica,DVT,ML-1.11,"¿Cuál es la frecuencia prevista de reentrenamiento de los modelos (ej: semanal, mensual, disparado por eventos)?",Planificación de pipelines de entrenamiento automatizados.,,"Para el clustering de hoteles, se ha propuesto un reentrenamiento semanal. La frecuencia para otros modelos (anomalías, forecasting) se definirá durante el desarrollo, pero se espera que sea periódica para adaptarse a nuevos datos y patrones."
,Monitorización,Monitorización del modelo,No Aplica,,ML-1.12,"¿Cómo se planea monitorizar el ""degradado"" del modelo (model drift) y los cambios en la distribución de datos (data drift)?",Mantenimiento de la precisión del modelo a lo largo del tiempo.,,
,Infraestructura,Costes,No Aplica,,ML-1.13,"En caso de que se requiera entrenar un modelo complejo, ¿Se acepta el uso de GPUs o TPUs? implica aumento de costes",Planificación de recursos y costes de computación.,,
,Detección de anomalias y alertas,Casos de uso,Aplica,Cliente,ML-1.14,Cúales son las principales metricas sobre las que se deben detectar las anomalias.,,,"Las métricas prioritarias son TTV (Total Transaction Value), Roomnights y Reservas. Secundariamente, ADR, ABV y LoS."
,Detección de anomalias y alertas,Casos de uso,Aplica,Cliente,ML-1.15,"¿Se debe establecer un limite de alertas para no saturar al DCS? Por ejemplo, X alertas diarias.",,,"No se establecerá un límite fijo. Se gestionará la saturación mediante un sistema de priorización y categorización de alertas, ajustando la sensibilidad del modelo para notificar solo las más críticas y relevantes. Se evitarán notificaciones repetitivas."
,Detección de anomalias y alertas,Casos de uso,Aplica,Cliente,ML-1.16,¿Contais con alguna clase de calendario de festivos o eventos por hoteles que se pueda inyectar al modelo?,,,"No se cuenta con un calendario de eventos. Se propone que el modelo aprenda los patrones estacionales analizando los datos históricos por mercado de origen del cliente, en lugar de depender de un calendario de festivos explícito."
,Clustering de hoteles,Casos de uso,Aplica,Cliente,ML-1.17,¿Cuales son los factores que más en cuenta tienen los DCS para establecer que un hotel es similar a otro de manera manual?,,,"La similitud se establece manualmente considerando una combinación de factores: ubicación, tipología (urbano, vacacional), precio medio (ADR), y la composición de los mercados de origen. Adicionalmente, se ha sugerido incorporar la correlación entre las series temporales de los hoteles como un factor de clustering."
,Clustering de hoteles,Casos de uso,Aplica,Cliente/DVT,ML-1.18,¿Cómo evaluamos los grupos que cree el modelo? ¿Quizá que un pequeño grupo de DCS analice los resultados para ver si estan de acuerdo?,,,La validación de los clústeres generados por el modelo será un proceso manual. Se propondrá que un grupo de expertos (ej. el equipo de DCS) revise las agrupaciones para asegurar que tienen sentido desde una perspectiva de negocio.
,Clustering de hoteles,Casos de uso,Aplica,Cliente/DVT,ML-1.19,¿Cada cuanto tiempo considerais que puede ser necesario recalcular las agrupaciones de hoteles?,,,"Dado que el comportamiento de los hoteles y su competitividad cambian con el tiempo, se considera necesario recalcular las agrupaciones periódicamente. La propuesta inicial es realizar un reentrenamiento del modelo de clustering con una frecuencia semanal."
,IA Generativa,Casos de uso,Aplica,Cliente,ML-1.20,Cuando el modelo redacte un mensaje analizando una alerta¿Quereis que siga un formato fijo o que muestre siempre algun dato en concreto (Ej. Objetivos)?,,,"Se prefiere un enfoque híbrido. Las alertas deben seguir un formato estándar para presentar los datos clave, pero complementado con un texto generado por IA que interprete la anomalía. Se investigará la posibilidad de adjuntar un gráfico representativo directamente en la alerta (ej. en Slack)."
,IA Generativa,Casos de uso,Aplica,Cliente,ML-1.21,¿Teneis algun tono o formato en mente que deba seguir? Por ejemplo que exponga la información en bullet points o mas como un parrafo.,,,"Para las respuestas del asistente, se busca un balance entre detalle y brevedad. El formato preferido es una combinación de bullet points para los datos clave y un resumen explicativo conciso. Es crucial que el asistente siempre permita al usuario verificar las fuentes de la información proporcionada."
,Forecasting,Casos de uso,Aplica,Cliente,ML-1.22,¿Se quiere contar con Forecasting para realizar predicciones?,,,"Sí, se quiere utilizar el forecasting. Un caso de uso clave es la generación de proyecciones de ventas para compararlas con los objetivos (budget) y así generar alertas proactivas si se prevé que no se alcanzarán."
,Forecasting,Casos de uso,Aplica,Cliente,ML-1.23,¿Que horizonte temporal se pretende abarcar con las predicciones?,,,"Inicialmente se ha propuesto un horizonte de predicción de 3 a 4 meses. Sin embargo, se ha planteado que este horizonte podría ser dinámico y adaptarse a cada hotel en función de su 'lead time' de reserva promedio, permitiendo predicciones más relevantes según el caso."
,Adopción y pruebas,Casos de uso,Aplica,Cliente,ML-1.24,"¿Que hoteles, cuentas o DCS deberían ser los primeros Beta Testers en recibir las alertas y usar el asistente conversacional?",,,La estrategia de adopción será progresiva. Se comenzará con un grupo piloto de 'beta testers' (4-5 personas del equipo DCS) que probarán la herramienta y proporcionarán feedback. El análisis se centrará inicialmente en un conjunto definido de hoteles clave.
